dep,date2,golos
Іванов В.І.,2022-10-23,77
Іванов В.І.,2022-11-06,105
Іванов В.І.,2022-11-20,100
Іванов В.І.,2022-12-04,98
Іванов В.І.,2022-12-18,80
Іванов В.І.,2023-01-15,160
Іванов В.І.,2023-02-12,130
Іванчук А.В.,2020-12-20,193
Іванчук А.В.,2021-01-31,116
Іванчук А.В.,2021-02-07,173
Іванчук А.В.,2021-02-21,156
Іванчук А.В.,2021-02-28,4
Іванчук А.В.,2021-03-07,151
Іванчук А.В.,2021-03-21,207
Іванчук А.В.,2021-04-04,0
Іванчук А.В.,2021-04-18,372
Іванчук А.В.,2021-05-02,157
Іванчук А.В.,2021-05-23,256
Іванчук А.В.,2021-06-06,161
Іванчук А.В.,2021-06-20,336
Іванчук А.В.,2021-07-04,331
Іванчук А.В.,2021-07-18,182
Іванчук А.В.,2021-07-25,9
Іванчук А.В.,2021-08-29,2
Іванчук А.В.,2021-09-12,146
Іванчук А.В.,2021-09-26,118
Іванчук А.В.,2021-10-10,109
Іванчук А.В.,2021-10-24,366
Іванчук А.В.,2021-11-07,292
Іванчук А.В.,2021-11-21,159
Іванчук А.В.,2021-12-05,319
Іванчук А.В.,2021-12-19,215
Іванчук А.В.,2022-01-30,44
Іванчук А.В.,2022-02-06,0
Іванчук А.В.,2022-02-20,131
Іванчук А.В.,2022-02-27,30
Іванчук А.В.,2022-04-24,78
Іванчук А.В.,2022-05-08,90
Іванчук А.В.,2022-05-15,45
Іванчук А.В.,2022-05-22,30
Іванчук А.В.,2022-06-05,52
Іванчук А.В.,2022-06-19,38
Іванчук А.В.,2022-06-26,71
Іванчук А.В.,2022-07-03,46
Іванчук А.В.,2022-07-10,100
Іванчук А.В.,2022-07-24,94
Іванчук А.В.,2022-07-31,203
Іванчук А.В.,2022-08-21,132
Іванчук А.В.,2022-09-04,51
Іванчук А.В.,2022-09-11,71
Іванчук А.В.,2022-09-25,128
Іванчук А.В.,2022-10-09,194
Іванчук А.В.,2022-10-23,75
Іванчук А.В.,2022-11-06,105
Іванчук А.В.,2022-11-20,100
Іванчук А.В.,2022-12-04,97
Іванчук А.В.,2022-12-18,86
Іванчук А.В.,2023-01-15,73
Іванчук А.В.,2023-02-12,155
Іванісов Р.В.,2020-12-20,186
Іванісов Р.В.,2021-01-31,187
Іванісов Р.В.,2021-02-07,175
Іванісов Р.В.,2021-02-21,172
Іванісов Р.В.,2021-02-28,4
Іванісов Р.В.,2021-03-07,151
Іванісов Р.В.,2021-03-21,263
Іванісов Р.В.,2021-04-04,52
Іванісов Р.В.,2021-04-18,540
Іванісов Р.В.,2021-05-02,374
Іванісов Р.В.,2021-05-23,271
Іванісов Р.В.,2021-06-06,235
Іванісов Р.В.,2021-06-20,387
Іванісов Р.В.,2021-07-04,352
Іванісов Р.В.,2021-07-18,417
Іванісов Р.В.,2021-07-25,0
Іванісов Р.В.,2021-08-29,2
Іванісов Р.В.,2021-09-12,163
Іванісов Р.В.,2021-09-26,151
Іванісов Р.В.,2021-10-10,112
Іванісов Р.В.,2021-10-24,453
Іванісов Р.В.,2021-11-07,373
Іванісов Р.В.,2021-11-21,162
Іванісов Р.В.,2021-12-05,330
Іванісов Р.В.,2021-12-19,212
Іванісов Р.В.,2022-01-30,114
Іванісов Р.В.,2022-02-06,27
Іванісов Р.В.,2022-02-20,154
Іванісов Р.В.,2022-02-27,31
Іванісов Р.В.,2022-04-24,72
Іванісов Р.В.,2022-05-08,67
Іванісов Р.В.,2022-05-15,45
Іванісов Р.В.,2022-05-22,12
Іванісов Р.В.,2022-06-05,32
Іванісов Р.В.,2022-06-19,38
Іванісов Р.В.,2022-06-26,68
Іванісов Р.В.,2022-07-03,31
Іванісов Р.В.,2022-07-10,62
Іванісов Р.В.,2022-07-24,94
Іванісов Р.В.,2022-07-31,56
Іванісов Р.В.,2022-08-21,138
Іванісов Р.В.,2022-09-04,51
Іванісов Р.В.,2022-09-11,62
Іванісов Р.В.,2022-09-25,106
Іванісов Р.В.,2022-10-09,32
Іванісов Р.В.,2022-10-23,73
Іванісов Р.В.,2022-11-06,66
Іванісов Р.В.,2022-11-20,19
Іванісов Р.В.,2022-12-04,56
Іванісов Р.В.,2022-12-18,0
Іванісов Р.В.,2023-01-15,159
Іванісов Р.В.,2023-02-12,109
Івахів С.П.,2020-12-20,72
Івахів С.П.,2021-01-31,1
Івахів С.П.,2021-02-07,98
Івахів С.П.,2021-02-21,157
Івахів С.П.,2021-02-28,0
Івахів С.П.,2021-03-07,84
Івахів С.П.,2021-03-21,312
Івахів С.П.,2021-04-04,49
Івахів С.П.,2021-04-18,252
